Order Item ID,O.E.:,Job #:,Customer:,Qty.:,Part #,Rev,Contact:,DWG Rel.,M,Descriptions:,Price:,P.O. :,Packing Slip,Qty.:,Invoice:,Del. Req'd:,Del. Ship'd:,Delay:
787,38740,72331,Candu,1 +1,RT-87550-0145-01-GA-E,,Brandon Kwakye,4/24/2025,5,Shell Installatin Tool Assy,"$1,950.00 ",RT98-87550-PN-R004-R.1,,,,19-Sep-25,,
,,,,,,,,,,,,,,,,,,
750,38744,72028,DJ Ind.,1,NPN,,Chris,2/15/2025,1,Auger to measure & Prelim Dwgs,,NPO #,,,,21-Feb-25,,
,,,,,,,,,,,,,,,,,,
751,38758,72083,Candu,3,RT-88030-0300-01-GA-0,2,Angelica de la Barrera,2/21/2025,1,Garter Spring Detection Tool,"$52,899.78 ",RT79-88030-PN-R001-R.2,,,,21-Jul-25,,
752,38758,72084,Candu,4,RT-88030-0063-01-GA-E,1,Angelica de la Barrera,2/21/2025,2,Single Spacer Drop off Tool,23133.58 +3822,RT79-88030-PN-R001-R.2,,,,20-Jan-26,,
779,38758,72278,Candu,2,RT-88030-0250-1-GA-D,,David Weldon,3/31/2025,4,Eddy Current Spacer Detection Trough,"$5,218.00 ",RT79-88030-PN-R001-R.2,,,,21-Jul-25,,
,,,,,,,,,,,,,,,,,,
753,38759,72085,Candu,3,RT-88030-0300-01-GA-0,2,Angelica de la Barrera,2/21/2025,1,Garter Spring Detection Tool,"$52,899.78 ",RT98-88030-PN-R001- R.2,,,,21-Jul-25,,
754,38759,72086,Candu,6,RT-88030-0063-01-GA-E,1,Angelica de la Barrera,2/21/2025,2,Single Spacer Drop off Tool,23133.58 +3822,RT98-88030-PN-R001- R.2,,,,21-Jul-25,,
780,38759,72279,Candu,2,RT-88030-0250-1-GA-D,,David Weldon,3/31/2025,4,Eddy Current Spacer Detection Trough,"$5,218.00 ",RT98-88030-PN-R001- R.2,,,,21-Jul-25,,
798,38759,72459,Candu,2,RT-88030-0310-1-GA-D,,David Weldon,6/11/2025,5,Eddy Current Verification Bench,"$8,656.00 ",RT98-88030-PN-R001- R.2,,,,27-Aug-25,,
799,38759,72460,Candu,2,RT-88030-0021-01-GA-1,,David Weldon,6/11/2025,6,Tool Encoder Bracket Assy,"$9,903.00 ",RT98-88030-PN-R001- R.2,,,,27-Aug-25,,
,,,,,,,,,,,,,,,,,,
,C.O.D,72113,Metonic,1,Misc,,Edwin,2/24/2025,1,Misc WJ Cutting,,NPO,,,,25-Feb-25,,
756,C.O.D,72113,Metonic,1,Misc,,Edwin,5/2/2025,2,Front Left Upright,,NPO,,,,9-May-25,,
757,C.O.D,72113,Metonic,1,Misc,,Edwin,5/3/2025,3,Front Right upright,,NPO,,,,9-May-25,,
758,C.O.D,72113,Metonic,1,Misc,,Edwin,5/4/2025,4,Rear Left Upright,,NPO,,,,9-May-25,,
759,C.O.D,72113,Metonic,1,Misc,,Edwin,5/5/2025,5,Rear Right Upright,,NPO,,,,9-May-25,,
760,C.O.D,72113,Metonic,1,EN-00403,,Edwin,5/6/2025,6,Motor Mount Sprocket,,NPO,,,,9-May-25,,
,,,,,,,,,,,,,,,,,,
761,38785,72139,Candu,1,RT-88230-0245-01-GA-E,,Angelica de la Barrera,3/4/2025,1,"Large Template,MK TP-1A","$39,444.42 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
762,38785,72140,Candu,1,RT-88230-0246-01-GA-E,,Angelica de la Barrera,3/4/2025,2,"Large Template,MK TP-1C","$38,305.70 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
763,38785,72141,Candu,1,RT-88230-0247-01-GA-E,,Angelica de la Barrera,3/4/2025,3,"Large Template,MK TP-2A","$39,684.13 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
764,38785,72142,Candu,1,RT-88230-0248-01-GA-E,,Angelica de la Barrera,3/4/2025,4,"Large Template,MK TP-2C","$39,684.13 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
765,38785,72143,Candu,1,RT-88230-0249-01-GA-D,,Angelica de la Barrera,3/4/2025,5,"Small Template,MK TP-3A","$16,803.50 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
766,38785,72144,Candu,1,RT-88230-0250-01-GA-D,,Angelica de la Barrera,3/4/2025,6,"Small Template,MK TP-3C","$17,217.82 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
767,38785,72145,Candu,1,RT-88230-0251-01-GA-D,,Angelica de la Barrera,3/4/2025,7,"Small Template,MK TP-4A","$17,288.48 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
768,38785,72146,Candu,1,RT-88230-0252-01-GA-D,,Angelica de la Barrera,3/4/2025,8,"Small Template,MK TP-4C","$15,059.18 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
769,38785,72147,Candu,2,RT-88230-0200-01-GA-E,,Angelica de la Barrera,3/4/2025,9,Upper Feeder Template Assy,"$84,206.32 ",RT79-88230-PN-R012- R.2,,,,24-Nov-25,,
,,,,,,,,,,,,,,,,,,
770,38804,72234,Candu,1,RT-88230-0245-01-GA-E,,Angelica de la Barrera,3/20/2025,1,"Large Template,MK TP-1A","$39,444.42 ",RT98-88230-PN-R010,,,,24-Nov-25,,
771,38804,72235,Candu,1,RT-88230-0246-01-GA-E,,Angelica de la Barrera,3/20/2025,2,"Large Template,MK TP-1C","$38,305.70 ",RT98-88230-PN-R010,,,,24-Nov-25,,
772,38804,72236,Candu,1,RT-88230-0247-01-GA-E,,Angelica de la Barrera,3/20/2025,3,"Large Template,MK TP-2A","$39,684.13 ",RT98-88230-PN-R010,,,,24-Nov-25,,
773,38804,72237,Candu,1,RT-88230-0248-01-GA-E,,Angelica de la Barrera,3/20/2025,4,"Large Template,MK TP-2C","$39,684.13 ",RT98-88230-PN-R010,,,,24-Nov-25,,
